id,builder,project_name,project_in_acres,location,city,lattitude,longitude,property_type,status,construction,ownership,flat_on_floor,total_floor,furnish,area,bed,bath,balcony,lift,parking,overlooking,facing,flooring,extra_rooms,available_units,towers,costpersqft,emi,price_category,price,education_mean_km,education_min_km,education_within_2km,transport_mean_km,transport_min_km,transport_within_2km,shopping_centre_mean_km,shopping_centre_min_km,shopping_centre_within_2km,commercial_hub_mean_km,commercial_hub_min_km,commercial_hub_within_2km,hospital_mean_km,hospital_min_km,hospital_within_2km,tourist_mean_km,tourist_min_km,tourist_within_2km,overall_min_mean_km,overall_avg_mean_km,overall_min_min_km,overall_avg_min_km,total_within_2km,seller
cardid72331259,,,,veera desai road,mumbai,19.1351760790232,72.8376185784447,resale,ready to move,10 to 15 years,freehold,5.0,9.0,semi-furnished,550.0,2.0,2.0,3.0,2.0,1.0,main road,north,vitrified,none of these,,,35455.0,0.88,1.00 - 1.99,1.95,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72102735,,,,lower parel west,mumbai,19.0010243905285,72.8239939828909,new property,ready to move,new construction,freehold,2.0,21.0,unfurnished,662.0,2.0,2.0,,1.0,1.0,main road,east,"vitrified, ceramic tiles",servant,,,45317.0,1.35,3.00 - 3.99,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72017427,oberoi realty ltd.,oberoi sky city,27.0,borivali east,mumbai,19.2272619069866,72.8634397272398,new property,ready to move,new construction,freehold,11.0,61.0,semi-furnished,1073.0,3.0,3.0,,,,garden/park,south -west,,study,361.0,8.0,41473.0,2.01,4.00 - 4.99,4.45,4.866666666666666,1.4,1.0,3.0667000000000004,0.0001,2.0,4.0,2.0,1.0,7.0,5.7,0.0,1.633333333333333,0.7,2.0,,,,1.633333333333333,4.113339999999999,0.0001,1.96002,6.0,realestateagent
cardid73099375,,,,khopat,thane,19.2014277501771,72.972637756513,resale,ready to move,15 to 20 years,freehold,3.0,7.0,unfurnished,630.0,2.0,2.0,2.0,,,main road,east,,store,,,14286.0,0.41,0.00 - 0.99,0.9,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid73140551,,,,,mumbai,,,resale,ready to move,less than 5 years,freehold,21.0,22.0,furnished,650.0,2.0,2.0,1.0,2.0,1.0,"garden/park, main road",east,vitrified,study,,,27692.0,0.81,1.00 - 1.99,1.8,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid60565307,,,,naigaon east,palghar,19.286178588867188,72.85895538330078,new property,ready to move,5 to 10 years,freehold,,,unfurnished,650.0,2.0,2.0,,1.0,1.0,"garden/park, main road",east,vitrified,none of these,,,7077.0,0.21,0.00 - 0.99,0.46,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72986841,,,,tilak nagar chembur,mumbai,19.0676774565328,72.8962666933898,new property,ready to move,new construction,freehold,8.0,16.0,unfurnished,782.0,2.0,2.0,,2.0,1.0,main road,east,"mosaic, normal tiles/kotah stone, vitrified",none of these,,,30691.0,1.08,2.00 - 2.99,2.4,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid70943233,,,,airoli,navi mumbai,19.1609103453837,72.9933968951486,resale,ready to move,15 to 20 years,freehold,,,semi-furnished,425.0,1.0,1.0,,,,main road,north,vitrified,none of these,,,15294.0,0.29,0.00 - 0.99,0.65,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid64659317,,,,khar west,mumbai,19.07072639465332,72.83612823486328,resale,ready to move,10 to 15 years,co-operative society,4.0,7.0,semi-furnished,1010.0,3.0,3.0,,,,main road,south,vitrified,store,,,47030.0,2.14,4.00 - 4.99,4.75,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid71152403,,,,sector 10 kharghar,navi mumbai,19.03350257873535,73.0756607055664,resale,ready to move,less than 5 years,freehold,,,semi-furnished,750.0,2.0,2.0,2.0,2.0,1.0,"garden/park, main road, pool",east,vitrified,,,,15333.0,0.52,1.00 - 1.99,1.15,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72137381,oberoi realty ltd.,oberoi sky city,27.0,dattapada,mumbai,19.2272619069866,72.8634397272398,resale,ready to move,new construction,co-operative society,55.0,62.0,unfurnished,1132.0,3.0,3.0,1.0,4.0,2.0,"garden/park, main road, pool",east,"ceramic tiles, granite, mosaic","puja, study, store",361.0,8.0,50353.0,2.57,5.00 - 5.99,5.7,4.866666666666666,1.4,1.0,3.0667000000000004,0.0001,2.0,4.0,2.0,1.0,7.0,5.7,0.0,1.633333333333333,0.7,2.0,,,,1.633333333333333,4.113339999999999,0.0001,1.96002,6.0,realestateagent
cardid73090671,,,,shivaji park,mumbai,19.0287954865428,72.838688734427,resale,ready to move,new construction,freehold,12.0,21.0,unfurnished,736.0,2.0,2.0,,2.0,1.0,garden/park,west,"ceramic tiles, vitrified",servant,,,52310.0,1.74,3.00 - 3.99,3.85,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
